,Year,Trimester,Provincia,ADSL,Cablemodem,Optical Fiber,Wireless,Others,Total,date,FB_ADSL_ratio
400,2018,3,Salta,76600,53980,678,2340,1391,132883,2018-07-01,0.008851174934725849
401,2018,3,San Juan,54025,5838,826,2744,1048,64481,2018-07-01,0.015289217954650625
402,2018,3,San Luis,11096,7784,368,52859,2314,74421,2018-07-01,0.03316510454217736
403,2018,3,Santa Cruz,18606,4574,585,6238,3996,33999,2018-07-01,0.03144147049338923
404,2018,3,Santa Fe,339126,312866,11749,16337,15022,695100,2018-07-01,0.034644940228705554
405,2018,3,Santiago del Estero,25805,58789,23,1662,810,86360,2018-07-01,0.0008913001356326293
406,2018,3,Tierra del Fuego,19365,22649,1502,10,2047,45564,2018-07-01,0.07756261296152853
407,2018,3,Tucumán,161209,9280,110,2520,3150,171166,2018-07-01,0.0006823440378638909
408,2018,2,Buenos Aires,1450203,1807868,143626,71256,27746,3500699,2018-04-01,0.09903854839632796
409,2018,2,Ciudad de Buenos Aires,342431,977916,35610,3908,9321,1369186,2018-04-01,0.10399175308310288
410,2018,2,Catamarca,27444,4415,15,10,2214,34089,2018-04-01,0.0005465675557498906
411,2018,2,Chaco,54134,40750,562,1946,1129,98521,2018-04-01,0.010381645546237115
412,2018,2,Chubut,58935,19591,1239,1407,6729,100564,2018-04-01,0.021023161109697125
413,2018,2,Córdoba,345141,327636,13832,16355,10109,713073,2018-04-01,0.04007637458314138
414,2018,2,Corrientes,56541,39715,201,1468,320,97957,2018-04-01,0.003554942431156152
415,2018,2,Entre Ríos,104811,80376,2405,12313,800,199985,2018-04-01,0.022946064821440498
416,2018,2,Formosa,23543,7311,18,13625,570,44554,2018-04-01,0.0007645584674850274
417,2018,2,Jujuy,33571,10856,23,6400,430,45133,2018-04-01,0.0006851151291293081
418,2018,2,La Pampa,12416,53587,8420,7011,9870,82421,2018-04-01,0.6781572164948454
419,2018,2,La Rioja,16663,34984,13,2530,350,51948,2018-04-01,0.0007801716377603073
420,2018,2,Mendoza,152938,36872,3084,6206,1852,200952,2018-04-01,0.02016503419686409
421,2018,2,Misiones,57265,47923,512,3910,560,106147,2018-04-01,0.008940888850082948
422,2018,2,Neuquén,46633,52855,998,12649,2713,115848,2018-04-01,0.021401153689447387
423,2018,2,Río Negro,68667,32795,1252,4396,5125,112235,2018-04-01,0.018232921199411653
424,2018,2,Salta,78386,53478,678,2340,1391,134167,2018-04-01,0.008649503737912382
425,2018,2,San Juan,54080,5068,826,3079,1048,64101,2018-04-01,0.015273668639053254
426,2018,2,San Luis,11104,7666,368,160,2314,21468,2018-04-01,0.03314121037463977
427,2018,2,Santa Cruz,18615,4474,585,6734,3997,34405,2018-04-01,0.031426269137792104
428,2018,2,Santa Fe,337934,304349,11354,15801,15114,684552,2018-04-01,0.03359827658655241
429,2018,2,Santiago del Estero,26074,55935,23,1662,810,83775,2018-04-01,0.0008821047787067577
430,2018,2,Tierra del Fuego,19372,22756,531,10,2047,44707,2018-04-01,0.02741069584967995
431,2018,2,Tucumán,160315,8965,110,2520,3150,169957,2018-04-01,0.000686149143873
432,2018,1,Buenos Aires,1452061,1793884,133928,64379,31194,3475446,2018-01-01,0.09223303979653748
433,2018,1,Ciudad de Buenos Aires,349995,968483,35535,3164,9393,1366570,2018-01-01,0.1015300218574551
434,2018,1,Catamarca,27300,4415,15,10,2214,33945,2018-01-01,0.0005494505494505495
435,2018,1,Chaco,54879,40157,383,3880,113,96937,2018-01-01,0.006978990141948651
436,2018,1,Chubut,56375,19591,1194,1407,6729,97959,2018-01-01,0.02117960088691796
437,2018,1,Córdoba,349342,326894,13178,13237,11275,713926,2018-01-01,0.03772234658300462
438,2018,1,Corrientes,56937,35225,888,1334,330,94417,2018-01-01,0.015596185257389747
439,2018,1,Entre Ríos,106998,75751,3789,10776,800,197394,2018-01-01,0.035411876857511355
440,2018,1,Formosa,23556,7095,17,1603,570,32328,2018-01-01,0.0007216844965189336
441,2018,1,Jujuy,33856,10456,23,280,430,44406,2018-01-01,0.0006793478260869565
442,2018,1,La Pampa,10807,51389,8386,10556,1926,83064,2018-01-01,0.7759785324326826
443,2018,1,La Rioja,16960,34984,13,2530,350,52245,2018-01-01,0.0007665094339622642
444,2018,1,Mendoza,152931,36872,3086,6206,1852,200947,2018-01-01,0.020179034989635847
